date,VXAZN,VIX9D,VIX,VXAPL
1990-03-22,37.29,16.06,22.74,31.57
1990-03-23,37.29,16.06,20.46,31.57
1990-03-26,37.29,16.06,19.59,31.57
1990-03-27,37.29,16.06,21.01,31.57
1990-03-28,37.29,16.06,19.77,31.57
1990-03-29,37.29,16.06,18.46,31.57
1990-03-30,37.29,16.06,19.73,31.57
1990-04-02,37.29,16.06,22.84,31.57
1990-04-03,37.29,16.06,20.44,31.57
1990-04-04,37.29,16.06,22.03,31.57
1990-04-05,37.29,16.06,21.21,31.57
1990-04-06,37.29,16.06,21.76,31.57
1990-04-09,37.29,16.06,22.3,31.57
1990-04-10,37.29,16.06,21.69,31.57
1990-04-11,37.29,16.06,17.73,31.57
1990-04-12,37.29,16.06,19.8,31.57
1990-04-16,37.29,16.06,20.75,31.57
1990-04-17,37.29,16.06,20.38,31.57
1990-04-18,37.29,16.06,22.67,31.57
1990-04-19,37.29,16.06,22.46,31.57
1990-04-20,37.29,16.06,23.33,31.57
1990-04-23,37.29,16.06,24.16,31.57
1990-04-24,37.29,16.06,21.7,31.57
1990-04-25,37.29,16.06,20.86,31.57
1990-04-26,37.29,16.06,20.25,31.57
1990-04-27,37.29,16.06,22.19,31.57
1990-04-30,37.29,16.06,19.52,31.57
1990-05-01,37.29,16.06,18.43,31.57
1990-05-02,37.29,16.06,19.32,31.57
1990-05-03,37.29,16.06,17.81,31.57
1990-05-04,37.29,16.06,17.28,31.57
1990-05-07,37.29,16.06,17.65,31.57
1990-05-08,37.29,16.06,18.49,31.57
1990-05-09,37.29,16.06,18.64,31.57
1990-05-10,37.29,16.06,18.59,31.57
1990-05-11,37.29,16.06,19.81,31.57
1990-05-14,37.29,16.06,20.14,31.57
1990-05-15,37.29,16.06,19.49,31.57
1990-05-16,37.29,16.06,17.71,31.57
1990-05-17,37.29,16.06,17.27,31.57
1990-05-18,37.29,16.06,17.2,31.57
1990-05-21,37.29,16.06,16.72,31.57
1990-05-22,37.29,16.06,17.84,31.57
1990-05-23,37.29,16.06,17.18,31.57
1990-05-24,37.29,16.06,17.7,31.57
1990-05-25,37.29,16.06,17.32,31.57
1990-05-29,37.29,16.06,18.75,31.57
1990-05-30,37.29,16.06,17.44,31.57
1990-05-31,37.29,16.06,17.37,31.57
1990-06-01,37.29,16.06,17.09,31.57
1990-06-04,37.29,16.06,18.39,31.57
1990-06-05,37.29,16.06,18.97,31.57
1990-06-06,37.29,16.06,17.42,31.57
1990-06-07,37.29,16.06,16.88,31.57
1990-06-08,37.29,16.06,17.58,31.57
1990-06-11,37.29,16.06,16.34,31.57
1990-06-12,37.29,16.06,16.6,31.57
1990-06-13,37.29,16.06,17.38,31.57
1990-06-14,37.29,16.06,17.4,31.57
1990-06-15,37.29,16.06,15.9,31.57
1990-06-18,37.29,16.06,17.71,31.57
1990-06-19,37.29,16.06,15.23,31.57
1990-06-20,37.29,16.06,15.27,31.57
1990-06-21,37.29,16.06,14.72,31.57
1990-06-22,37.29,16.06,19.36,31.57
1990-06-25,37.29,16.06,17.06,31.57
1990-06-26,37.29,16.06,16.29,31.57
1990-06-27,37.29,16.06,16.0,31.57
1990-06-28,37.29,16.06,16.18,31.57
1990-06-29,37.29,16.06,15.5,31.57
1990-07-02,37.29,16.06,16.26,31.57
1990-07-03,37.29,16.06,16.11,31.57
1990-07-05,37.29,16.06,17.25,31.57
1990-07-06,37.29,16.06,16.41,31.57
1990-07-09,37.29,16.06,16.66,31.57
1990-07-10,37.29,16.06,16.92,31.57
1990-07-11,37.29,16.06,16.68,31.57
1990-07-12,37.29,16.06,17.06,31.57
1990-07-13,37.29,16.06,17.09,31.57
1990-07-16,37.29,16.06,16.75,31.57
1990-07-17,37.29,16.06,16.66,31.57
1990-07-18,37.29,16.06,18.9,31.57
1990-07-19,37.29,16.06,18.56,31.57
1990-07-20,37.29,16.06,15.63,31.57
1990-07-23,37.29,16.06,23.68,31.57
1990-07-24,37.29,16.06,21.79,31.57
1990-07-25,37.29,16.06,20.19,31.57
1990-07-26,37.29,16.06,20.26,31.57
1990-07-27,37.29,16.06,21.12,31.57
1990-07-30,37.29,16.06,21.16,31.57
1990-07-31,37.29,16.06,21.11,31.57
1990-08-01,37.29,16.06,21.64,31.57
1990-08-02,37.29,16.06,20.43,31.57
1990-08-03,37.29,16.06,28.74,31.57
1990-08-06,37.29,16.06,35.91,31.57
1990-08-07,37.29,16.06,32.75,31.57
1990-08-08,37.29,16.06,28.27,31.57
1990-08-09,37.29,16.06,24.39,31.57
1990-08-10,37.29,16.06,25.75,31.57
1990-08-13,37.29,16.06,25.74,31.57
1990-08-14,37.29,16.06,24.18,31.57
1990-08-15,37.29,16.06,23.31,31.57
1990-08-16,37.29,16.06,27.16,31.57
1990-08-17,37.29,16.06,27.53,31.57
1990-08-20,37.29,16.06,26.46,31.57
1990-08-21,37.29,16.06,28.9,31.57
1990-08-22,37.29,16.06,30.55,31.57
1990-08-23,37.29,16.06,36.47,31.57
1990-08-24,37.29,16.06,33.93,31.57
1990-08-27,37.29,16.06,29.63,31.57
1990-08-28,37.29,16.06,29.12,31.57
1990-08-29,37.29,16.06,27.38,31.57
1990-08-30,37.29,16.06,29.89,31.57
1990-08-31,37.29,16.06,29.9,31.57
1990-09-04,37.29,16.06,29.58,31.57
1990-09-05,37.29,16.06,28.52,31.57
1990-09-06,37.29,16.06,30.19,31.57
1990-09-07,37.29,16.06,28.73,31.57
1990-09-10,37.29,16.06,29.34,31.57
1990-09-11,37.29,16.06,28.38,31.57
1990-09-12,37.29,16.06,28.12,31.57
1990-09-13,37.29,16.06,29.33,31.57
1990-09-14,37.29,16.06,30.56,31.57
1990-09-17,37.29,16.06,29.55,31.57
1990-09-18,37.29,16.06,28.82,31.57
1990-09-19,37.29,16.06,27.88,31.57
1990-09-20,37.29,16.06,28.66,31.57
1990-09-21,37.29,16.06,30.04,31.57
1990-09-24,37.29,16.06,30.56,31.57
1990-09-25,37.29,16.06,28.81,31.57
1990-09-26,37.29,16.06,28.19,31.57
1990-09-27,37.29,16.06,28.67,31.57
1990-09-28,37.29,16.06,29.11,31.57
1990-10-01,37.29,16.06,28.06,31.57
1990-10-02,37.29,16.06,27.28,31.57
1990-10-03,37.29,16.06,27.9,31.57
1990-10-04,37.29,16.06,27.51,31.57
1990-10-05,37.29,16.06,27.85,31.57
1990-10-08,37.29,16.06,28.04,31.57
1990-10-09,37.29,16.06,30.71,31.57
1990-10-10,37.29,16.06,31.19,31.57
1990-10-11,37.29,16.06,33.98,31.57
1990-10-12,37.29,16.06,31.94,31.57
1990-10-15,37.29,16.06,31.64,31.57
1990-10-16,37.29,16.06,31.45,31.57
1990-10-17,37.29,16.06,31.37,31.57
1990-10-18,37.29,16.06,29.6,31.57
1990-10-19,37.29,16.06,27.86,31.57
1990-10-22,37.29,16.06,27.27,31.57
1990-10-23,37.29,16.06,27.57,31.57
1990-10-24,37.29,16.06,28.28,31.57
1990-10-25,37.29,16.06,29.04,31.57
1990-10-26,37.29,16.06,30.75,31.57
1990-10-29,37.29,16.06,31.54,31.57
1990-10-30,37.29,16.06,30.52,31.57
1990-10-31,37.29,16.06,30.04,31.57
1990-11-01,37.29,16.06,30.25,31.57
1990-11-02,37.29,16.06,30.03,31.57
1990-11-05,37.29,16.06,29.85,31.57
1990-11-06,37.29,16.06,29.11,31.57
1990-11-07,37.29,16.06,30.87,31.57
1990-11-08,37.29,16.06,30.79,31.57
1990-11-09,37.29,16.06,26.96,31.57
1990-11-12,37.29,16.06,25.6,31.57
1990-11-13,37.29,16.06,24.58,31.57
1990-11-14,37.29,16.06,22.89,31.57
1990-11-15,37.29,16.06,22.57,31.57
1990-11-16,37.29,16.06,21.34,31.57
1990-11-19,37.29,16.06,20.95,31.57
1990-11-20,37.29,16.06,20.09,31.57
1990-11-21,37.29,16.06,21.09,31.57
1990-11-23,37.29,16.06,20.98,31.57
1990-11-26,37.29,16.06,22.76,31.57
1990-11-27,37.29,16.06,22.86,31.57
1990-11-28,37.29,16.06,22.96,31.57
1990-11-29,37.29,16.06,23.91,31.57
1990-11-30,37.29,16.06,22.16,31.57
1990-12-03,37.29,16.06,22.29,31.57
1990-12-04,37.29,16.06,22.03,31.57
1990-12-05,37.29,16.06,20.94,31.57
1990-12-06,37.29,16.06,22.62,31.57
1990-12-07,37.29,16.06,22.59,31.57
1990-12-10,37.29,16.06,23.58,31.57
1990-12-11,37.29,16.06,23.75,31.57
1990-12-12,37.29,16.06,21.28,31.57
1990-12-13,37.29,16.06,23.05,31.57
1990-12-14,37.29,16.06,23.85,31.57
1990-12-17,37.29,16.06,24.85,31.57
1990-12-18,37.29,16.06,23.11,31.57
1990-12-19,37.29,16.06,23.08,31.57
1990-12-20,37.29,16.06,23.13,31.57
1990-12-21,37.29,16.06,22.66,31.57
1990-12-24,37.29,16.06,24.03,31.57
1990-12-26,37.29,16.06,24.18,31.57
1990-12-27,37.29,16.06,24.81,31.57
1990-12-28,37.29,16.06,25.05,31.57
1990-12-31,37.29,16.06,26.38,31.57
1991-01-02,37.29,16.06,26.62,31.57
1991-01-03,37.29,16.06,27.93,31.57
1991-01-04,37.29,16.06,27.19,31.57
1991-01-07,37.29,16.06,28.95,31.57
1991-01-08,37.29,16.06,30.38,31.57
1991-01-09,37.29,16.06,33.3,31.57
1991-01-10,37.29,16.06,31.33,31.57
1991-01-11,37.29,16.06,32.63,31.57
1991-01-14,37.29,16.06,36.2,31.57
1991-01-15,37.29,16.06,36.16,31.57
1991-01-16,37.29,16.06,33.2,31.57
1991-01-17,37.29,16.06,27.45,31.57
1991-01-18,37.29,16.06,25.39,31.57
1991-01-21,37.29,16.06,24.33,31.57
1991-01-22,37.29,16.06,24.9,31.57
1991-01-23,37.29,16.06,23.92,31.57
1991-01-24,37.29,16.06,22.86,31.57
1991-01-25,37.29,16.06,22.2,31.57
1991-01-28,37.29,16.06,23.05,31.57
1991-01-29,37.29,16.06,23.17,31.57
1991-01-30,37.29,16.06,21.37,31.57
1991-01-31,37.29,16.06,20.91,31.57
1991-02-01,37.29,16.06,21.04,31.57
1991-02-04,37.29,16.06,21.86,31.57
1991-02-05,37.29,16.06,21.46,31.57
1991-02-06,37.29,16.06,22.68,31.57
1991-02-07,37.29,16.06,23.6,31.57
1991-02-08,37.29,16.06,23.38,31.57
1991-02-11,37.29,16.06,22.56,31.57
1991-02-12,37.29,16.06,22.26,31.57
1991-02-13,37.29,16.06,20.86,31.57
1991-02-14,37.29,16.06,21.48,31.57
1991-02-15,37.29,16.06,19.57,31.57
1991-02-19,37.29,16.06,19.84,31.57
1991-02-20,37.29,16.06,22.26,31.57
1991-02-21,37.29,16.06,20.78,31.57
1991-02-22,37.29,16.06,21.01,31.57
1991-02-25,37.29,16.06,22.86,31.57
1991-02-26,37.29,16.06,20.38,31.57
1991-02-27,37.29,16.06,21.26,31.57
1991-02-28,37.29,16.06,21.23,31.57
1991-03-04,37.29,16.06,20.86,31.57
1991-03-05,37.29,16.06,20.45,31.57
1991-03-06,37.29,16.06,20.55,31.57
1991-03-07,37.29,16.06,21.05,31.57
1991-03-08,37.29,16.06,20.81,31.57
1991-03-11,37.29,16.06,20.88,31.57
1991-03-12,37.29,16.06,18.82,31.57
1991-03-13,37.29,16.06,16.09,31.57
1991-03-14,37.29,16.06,14.94,31.57
1991-03-15,37.29,16.06,14.9,31.57
1991-03-18,37.29,16.06,15.79,31.57
1991-03-19,37.29,16.06,16.11,31.57
1991-03-20,37.29,16.06,16.04,31.57
1991-03-21,37.29,16.06,16.86,31.57
1991-03-22,37.29,16.06,16.49,31.57
1991-03-25,37.29,16.06,16.76,31.57
1991-03-26,37.29,16.06,16.31,31.57
1991-03-27,37.29,16.06,16.55,31.57
1991-03-28,37.29,16.06,16.88,31.57
1991-04-01,37.29,16.06,17.42,31.57
1991-04-02,37.29,16.06,17.4,31.57
1991-04-03,37.29,16.06,17.61,31.57
1991-04-04,37.29,16.06,18.01,31.57
1991-04-05,37.29,16.06,17.63,31.57
1991-04-08,37.29,16.06,17.41,31.57
1991-04-09,37.29,16.06,20.12,31.57
1991-04-10,37.29,16.06,19.73,31.57
1991-04-11,37.29,16.06,17.24,31.57
1991-04-12,37.29,16.06,18.45,31.57
1991-04-15,37.29,16.06,16.5,31.57
1991-04-16,37.29,16.06,15.82,31.57
1991-04-17,37.29,16.06,15.47,31.57
1991-04-18,37.29,16.06,16.26,31.57
1991-04-19,37.29,16.06,15.68,31.57
1991-04-22,37.29,16.06,16.78,31.57
1991-04-23,37.29,16.06,17.02,31.57
1991-04-24,37.29,16.06,16.72,31.57
1991-04-25,37.29,16.06,17.15,31.57
1991-04-26,37.29,16.06,17.27,31.57
1991-04-29,37.29,16.06,18.27,31.57
1991-04-30,37.29,16.06,18.24,31.57
1991-05-01,37.29,16.06,17.77,31.57
1991-05-02,37.29,16.06,17.52,31.57
1991-05-03,37.29,16.06,17.24,31.57
1991-05-06,37.29,16.06,17.92,31.57
1991-05-07,37.29,16.06,17.46,31.57
1991-05-08,37.29,16.06,17.78,31.57
1991-05-09,37.29,16.06,17.17,31.57
1991-05-10,37.29,16.06,17.54,31.57
1991-05-13,37.29,16.06,17.66,31.57
1991-05-14,37.29,16.06,18.0,31.57
1991-05-15,37.29,16.06,18.38,31.57
1991-05-16,37.29,16.06,17.24,31.57
1991-05-17,37.29,16.06,16.64,31.57
1991-05-20,37.29,16.06,17.1,31.57
1991-05-21,37.29,16.06,16.07,31.57
1991-05-22,37.29,16.06,16.16,31.57
1991-05-23,37.29,16.06,16.11,31.57
1991-05-24,37.29,16.06,15.23,31.57
1991-05-28,37.29,16.06,15.67,31.57
1991-05-29,37.29,16.06,15.9,31.57
1991-05-30,37.29,16.06,16.02,31.57
1991-05-31,37.29,16.06,15.93,31.57
1991-06-03,37.29,16.06,16.87,31.57
1991-06-04,37.29,16.06,16.17,31.57
1991-06-05,37.29,16.06,16.4,31.57
1991-06-06,37.29,16.06,16.93,31.57
1991-06-07,37.29,16.06,16.98,31.57
1991-06-10,37.29,16.06,17.47,31.57
1991-06-11,37.29,16.06,17.32,31.57
1991-06-12,37.29,16.06,17.72,31.57
1991-06-13,37.29,16.06,16.99,31.57
1991-06-14,37.29,16.06,15.98,31.57
1991-06-17,37.29,16.06,15.5,31.57
1991-06-18,37.29,16.06,16.14,31.57
1991-06-19,37.29,16.06,17.44,31.57
1991-06-20,37.29,16.06,16.75,31.57
1991-06-21,37.29,16.06,16.51,31.57
1991-06-24,37.29,16.06,18.28,31.57
1991-06-25,37.29,16.06,17.85,31.57
1991-06-26,37.29,16.06,17.98,31.57
1991-06-27,37.29,16.06,17.87,31.57
1991-06-28,37.29,16.06,19.55,31.57
1991-07-01,37.29,16.06,18.64,31.57
1991-07-02,37.29,16.06,17.63,31.57
1991-07-03,37.29,16.06,19.47,31.57
1991-07-05,37.29,16.06,18.35,31.57
1991-07-08,37.29,16.06,20.29,31.57
1991-07-09,37.29,16.06,19.76,31.57
1991-07-10,37.29,16.06,19.19,31.57
1991-07-11,37.29,16.06,17.39,31.57
1991-07-12,37.29,16.06,18.29,31.57
1991-07-15,37.29,16.06,17.78,31.57
1991-07-16,37.29,16.06,17.49,31.57
1991-07-17,37.29,16.06,17.52,31.57
1991-07-18,37.29,16.06,15.77,31.57
1991-07-19,37.29,16.06,15.5,31.57
1991-07-22,37.29,16.06,16.9,31.57
1991-07-23,37.29,16.06,16.58,31.57
1991-07-24,37.29,16.06,16.41,31.57
1991-07-25,37.29,16.06,15.74,31.57
1991-07-26,37.29,16.06,15.45,31.57
1991-07-29,37.29,16.06,15.67,31.57
1991-07-30,37.29,16.06,15.47,31.57
1991-07-31,37.29,16.06,15.18,31.57
1991-08-01,37.29,16.06,15.47,31.57
1991-08-02,37.29,16.06,15.26,31.57
1991-08-05,37.29,16.06,15.92,31.57
1991-08-06,37.29,16.06,15.54,31.57
1991-08-07,37.29,16.06,15.56,31.57
1991-08-08,37.29,16.06,15.98,31.57
1991-08-09,37.29,16.06,15.45,31.57
1991-08-12,37.29,16.06,15.26,31.57
1991-08-13,37.29,16.06,14.73,31.57
1991-08-14,37.29,16.06,15.09,31.57
1991-08-15,37.29,16.06,15.19,31.57
1991-08-16,37.29,16.06,16.01,31.57
1991-08-19,37.29,16.06,21.19,31.57
1991-08-20,37.29,16.06,18.86,31.57
1991-08-21,37.29,16.06,15.62,31.57
1991-08-22,37.29,16.06,14.59,31.57
1991-08-23,37.29,16.06,14.41,31.57
1991-08-26,37.29,16.06,14.81,31.57
1991-08-27,37.29,16.06,15.46,31.57
1991-08-28,37.29,16.06,15.31,31.57
1991-08-29,37.29,16.06,14.82,31.57
1991-08-30,37.29,16.06,14.46,31.57
1991-09-03,37.29,16.06,16.57,31.57
1991-09-04,37.29,16.06,17.18,31.57
1991-09-05,37.29,16.06,17.31,31.57
1991-09-06,37.29,16.06,16.76,31.57
1991-09-09,37.29,16.06,17.73,31.57
1991-09-10,37.29,16.06,18.22,31.57
1991-09-11,37.29,16.06,17.96,31.57
1991-09-12,37.29,16.06,16.21,31.57
1991-09-13,37.29,16.06,17.88,31.57
1991-09-16,37.29,16.06,17.82,31.57
1991-09-17,37.29,16.06,17.68,31.57
1991-09-18,37.29,16.06,17.56,31.57
1991-09-19,37.29,16.06,17.56,31.57
1991-09-20,37.29,16.06,17.08,31.57
1991-09-23,37.29,16.06,16.38,31.57
1991-09-24,37.29,16.06,16.04,31.57
1991-09-25,37.29,16.06,15.68,31.57
1991-09-26,37.29,16.06,15.35,31.57
1991-09-27,37.29,16.06,16.31,31.57
1991-09-30,37.29,16.06,15.85,31.57
1991-10-01,37.29,16.06,14.81,31.57
1991-10-02,37.29,16.06,15.81,31.57
1991-10-03,37.29,16.06,17.04,31.57
1991-10-04,37.29,16.06,15.63,31.57
1991-10-07,37.29,16.06,18.58,31.57
1991-10-08,37.29,16.06,17.81,31.57
1991-10-09,37.29,16.06,18.54,31.57
1991-10-10,37.29,16.06,17.8,31.57
1991-10-11,37.29,16.06,17.6,31.57
1991-10-14,37.29,16.06,16.71,31.57
1991-10-15,37.29,16.06,16.22,31.57
1991-10-16,37.29,16.06,14.85,31.57
1991-10-17,37.29,16.06,16.32,31.57
1991-10-18,37.29,16.06,15.87,31.57
1991-10-21,37.29,16.06,16.66,31.57
1991-10-22,37.29,16.06,16.55,31.57
1991-10-23,37.29,16.06,16.26,31.57
1991-10-24,37.29,16.06,15.62,31.57
1991-10-25,37.29,16.06,15.75,31.57
1991-10-28,37.29,16.06,15.45,31.57
1991-10-29,37.29,16.06,15.55,31.57
1991-10-30,37.29,16.06,15.46,31.57
1991-10-31,37.29,16.06,15.48,31.57
1991-11-01,37.29,16.06,15.6,31.57
1991-11-04,37.29,16.06,16.35,31.57
1991-11-05,37.29,16.06,16.48,31.57
1991-11-06,37.29,16.06,16.47,31.57
1991-11-07,37.29,16.06,15.97,31.57
1991-11-08,37.29,16.06,15.43,31.57
1991-11-11,37.29,16.06,14.89,31.57
1991-11-12,37.29,16.06,14.04,31.57
1991-11-13,37.29,16.06,13.95,31.57
1991-11-14,37.29,16.06,13.96,31.57
1991-11-15,37.29,16.06,21.18,31.57
1991-11-18,37.29,16.06,18.28,31.57
1991-11-19,37.29,16.06,20.34,31.57
1991-11-20,37.29,16.06,20.4,31.57
1991-11-21,37.29,16.06,19.11,31.57
1991-11-22,37.29,16.06,21.2,31.57
1991-11-25,37.29,16.06,21.92,31.57
1991-11-26,37.29,16.06,19.8,31.57
1991-11-27,37.29,16.06,19.84,31.57
1991-11-29,37.29,16.06,20.26,31.57
1991-12-02,37.29,16.06,20.18,31.57
1991-12-03,37.29,16.06,19.7,31.57
1991-12-04,37.29,16.06,19.54,31.57
1991-12-05,37.29,16.06,20.19,31.57
1991-12-06,37.29,16.06,19.04,31.57
1991-12-09,37.29,16.06,19.74,31.57
1991-12-10,37.29,16.06,19.89,31.57
1991-12-11,37.29,16.06,20.57,31.57
1991-12-12,37.29,16.06,19.08,31.57
1991-12-13,37.29,16.06,17.88,31.57
1991-12-16,37.29,16.06,17.62,31.57
1991-12-17,37.29,16.06,18.12,31.57
1991-12-18,37.29,16.06,17.78,31.57
1991-12-19,37.29,16.06,17.96,31.57
1991-12-20,37.29,16.06,17.65,31.57
1991-12-23,37.29,16.06,16.61,31.57
1991-12-24,37.29,16.06,15.67,31.57
1991-12-26,37.29,16.06,15.44,31.57
1991-12-27,37.29,16.06,15.7,31.57
1991-12-30,37.29,16.06,17.63,31.57
1991-12-31,37.29,16.06,19.31,31.57
1992-01-02,37.29,16.06,18.95,31.57
1992-01-03,37.29,16.06,18.75,31.57
1992-01-06,37.29,16.06,18.96,31.57
1992-01-07,37.29,16.06,19.23,31.57
1992-01-08,37.29,16.06,18.72,31.57
1992-01-09,37.29,16.06,18.96,31.57
1992-01-10,37.29,16.06,18.45,31.57
1992-01-13,37.29,16.06,18.01,31.57
1992-01-14,37.29,16.06,17.01,31.57
1992-01-15,37.29,16.06,17.39,31.57
1992-01-16,37.29,16.06,17.64,31.57
1992-01-17,37.29,16.06,16.32,31.57
1992-01-20,37.29,16.06,16.42,31.57
1992-01-21,37.29,16.06,17.92,31.57
1992-01-22,37.29,16.06,16.75,31.57
1992-01-23,37.29,16.06,16.46,31.57
1992-01-24,37.29,16.06,16.24,31.57
1992-01-27,37.29,16.06,16.67,31.57
1992-01-28,37.29,16.06,17.67,31.57
1992-01-29,37.29,16.06,17.62,31.57
1992-01-30,37.29,16.06,17.49,31.57
1992-01-31,37.29,16.06,17.4,31.57
1992-02-03,37.29,16.06,18.2,31.57
1992-02-04,37.29,16.06,17.96,31.57
1992-02-05,37.29,16.06,18.22,31.57
1992-02-06,37.29,16.06,18.79,31.57
1992-02-07,37.29,16.06,18.51,31.57
1992-02-10,37.29,16.06,18.56,31.57
1992-02-11,37.29,16.06,17.7,31.57
1992-02-12,37.29,16.06,17.37,31.57
1992-02-13,37.29,16.06,17.45,31.57
1992-02-14,37.29,16.06,17.03,31.57
1992-02-18,37.29,16.06,18.22,31.57
1992-02-19,37.29,16.06,17.16,31.57
1992-02-20,37.29,16.06,16.72,31.57
1992-02-21,37.29,16.06,16.87,31.57
1992-02-24,37.29,16.06,17.13,31.57
1992-02-25,37.29,16.06,16.35,31.57
1992-02-26,37.29,16.06,16.64,31.57
1992-02-27,37.29,16.06,16.51,31.57
1992-02-28,37.29,16.06,16.68,31.57
1992-03-02,37.29,16.06,16.88,31.57
1992-03-03,37.29,16.06,17.26,31.57
1992-03-04,37.29,16.06,17.89,31.57
1992-03-05,37.29,16.06,18.47,31.57
1992-03-06,37.29,16.06,19.75,31.57
1992-03-09,37.29,16.06,19.68,31.57
1992-03-10,37.29,16.06,18.68,31.57
1992-03-11,37.29,16.06,19.79,31.57
1992-03-12,37.29,16.06,19.72,31.57
1992-03-13,37.29,16.06,18.35,31.57
1992-03-16,37.29,16.06,18.46,31.57
1992-03-17,37.29,16.06,16.79,31.57
1992-03-18,37.29,16.06,16.69,31.57
1992-03-19,37.29,16.06,16.52,31.57
1992-03-20,37.29,16.06,16.82,31.57
1992-03-23,37.29,16.06,16.73,31.57
1992-03-24,37.29,16.06,16.32,31.57
1992-03-25,37.29,16.06,16.19,31.57
1992-03-26,37.29,16.06,16.29,31.57
1992-03-27,37.29,16.06,16.02,31.57
1992-03-30,37.29,16.06,15.97,31.57
1992-03-31,37.29,16.06,16.18,31.57
1992-04-01,37.29,16.06,16.48,31.57
1992-04-02,37.29,16.06,17.06,31.57
1992-04-03,37.29,16.06,16.72,31.57
1992-04-06,37.29,16.06,16.72,31.57
1992-04-07,37.29,16.06,18.81,31.57
1992-04-08,37.29,16.06,20.15,31.57
1992-04-09,37.29,16.06,17.89,31.57
1992-04-10,37.29,16.06,16.85,31.57
1992-04-13,37.29,16.06,16.99,31.57
1992-04-14,37.29,16.06,15.98,31.57
1992-04-15,37.29,16.06,15.15,31.57
1992-04-16,37.29,16.06,14.85,31.57
1992-04-20,37.29,16.06,15.93,31.57
1992-04-21,37.29,16.06,16.53,31.57
1992-04-22,37.29,16.06,15.96,31.57
1992-04-23,37.29,16.06,15.83,31.57
1992-04-24,37.29,16.06,15.71,31.57
1992-04-27,37.29,16.06,16.49,31.57
1992-04-28,37.29,16.06,16.24,31.57
1992-04-29,37.29,16.06,15.95,31.57
1992-04-30,37.29,16.06,15.53,31.57
1992-05-01,37.29,16.06,16.61,31.57
1992-05-04,37.29,16.06,16.92,31.57
1992-05-05,37.29,16.06,16.66,31.57
1992-05-06,37.29,16.06,16.81,31.57
1992-05-07,37.29,16.06,16.54,31.57
1992-05-08,37.29,16.06,15.65,31.57
1992-05-11,37.29,16.06,15.17,31.57
1992-05-12,37.29,16.06,15.68,31.57
1992-05-13,37.29,16.06,15.19,31.57
1992-05-14,37.29,16.06,15.49,31.57
1992-05-15,37.29,16.06,14.82,31.57
1992-05-18,37.29,16.06,14.62,31.57
1992-05-19,37.29,16.06,13.57,31.57
1992-05-20,37.29,16.06,13.62,31.57
1992-05-21,37.29,16.06,13.92,31.57
1992-05-22,37.29,16.06,13.73,31.57
1992-05-26,37.29,16.06,14.92,31.57
